item_title,category
"['auto', 'window', 'sun', 'shade', 'sock', 'cover', 'baby', 'child', 'uv', 'protector', 'shield', 'for', 'car', 'suv', 'van']",Adhesives Sealants and Tapes
"['epoxy', 'resin', 'oz', 'kit', 'crystal', 'clear', 'for', 'super', 'gloss', 'coating', 'and', 'table', 'tops']",Adhesives Sealants and Tapes
"['crystal', 'clear', 'epoxy', 'resin', 'general', 'purpose', 'bar', 'table', 'top', 'coating', 'gallon', 'kit']",Adhesives Sealants and Tapes
"['crystal', 'clear', 'epoxy', 'resin', 'general', 'purpose', 'bar', 'table', 'top', 'coating', 'wood', 'gal', 'kit']",Adhesives Sealants and Tapes
"['plastic', 'casting', 'resin', 'for', 'casting', 'in', 'silicone', 'rubber', 'molds', 'gallon']",Adhesives Sealants and Tapes
"['flex', 'seal', 'clear', 'jumbo', 'can', 'liquid', 'rubber', 'spray', 'sealant', 'coating', 'oz', 'buy', 'direct']",Adhesives Sealants and Tapes
"['ultra', 'clear', 'epoxy', 'resin', 'fiberglass', 'table', 'tops', 'high', 'gloss', 'oz', 'kit']",Adhesives Sealants and Tapes
"['flex', 'seal', 'black', 'jumbo', 'can', 'liquid', 'rubber', 'spray', 'sealant', 'coating', 'oz', 'buy', 'direct']",Adhesives Sealants and Tapes
"['crystal', 'clear', 'bar', 'table', 'top', 'epoxy', 'resin', 'coating', 'for', 'wood', 'tabletop', 'gallon', 'kit']",Adhesives Sealants and Tapes
"['ultra', 'low', 'viscosity', 'liquid', 'plastic', 'urethane', 'casting', 'resin', 'gallon']",Adhesives Sealants and Tapes
"['ultra', 'clear', 'epoxy', 'resin', 'bar', 'tops', 'table', 'tops', 'wood', 'coating', 'gallon', 'kit']",Adhesives Sealants and Tapes
"['fiberfix', 'hi', 'temp', 'heat', 'wrap', 'fiber', 'fix', 'roll', 'up', 'to', 'degrees', 'fiber', 'fix']",Adhesives Sealants and Tapes
"['epoxy', 'resin', 'oz', 'kit', 'crystal', 'clear', 'for', 'super', 'gloss', 'coating', 'and', 'table', 'tops']",Adhesives Sealants and Tapes
"['plastic', 'acrylic', 'plexiglass', 'cement', 'glue', 'weldon', 'oz', 'can', 'bottle']",Adhesives Sealants and Tapes
"['ultra', 'clear', 'epoxy', 'resin', 'bar', 'tops', 'table', 'tops', 'wood', 'coating', 'oz', 'kit']",Adhesives Sealants and Tapes
"['tesa', 'thick', 'fleece', 'auto', 'wire', 'harness', 'adhesive', 'electrical', 'tape', 'mm']",Adhesives Sealants and Tapes
"['gals', 'table', 'top', 'epoxy', 'resin', 'crystal', 'clear', 'high', 'gloss']",Adhesives Sealants and Tapes
"['flex', 'seal', 'liquid', 'liquid', 'rubber', 'sealant', 'coating', 'large', 'oz', 'black']",Adhesives Sealants and Tapes
"['black', 'rubber', 'silicone', 'repair', 'waterproof', 'bonding', 'tape', 'rescue', 'self', 'fusing', 'wire', 'ft']",Adhesives Sealants and Tapes
"['table', 'top', 'epoxy', 'resin', 'gal', 'kit', 'crystal', 'clear']",Adhesives Sealants and Tapes
"['ft', 'vhb', 'double', 'sided', 'foam', 'adhesive', 'tape', 'automotive', 'mounting', 'mm']",Adhesives Sealants and Tapes
"['large', 'thermal', 'conductive', 'silicone', 'glue', 'adhesive', 'led', 'gpu', 'heatsink', 'mosfets']",Adhesives Sealants and Tapes
"['mm', 'cm', 'kapton', 'tape', 'sticky', 'high', 'temperature', 'heat', 'resistant', 'polyimide']",Adhesives Sealants and Tapes
"['flex', 'tape', 'clear', 'super', 'strong', 'rubberized', 'waterproof', 'buy', 'direct']",Adhesives Sealants and Tapes
"['epoxy', 'resin', 'for', 'crystal', 'clear', 'coating', 'bar', 'and', 'table', 'top', 'gallon']",Adhesives Sealants and Tapes
"['ips', 'weld', 'on', 'solvent', 'plastic', 'plexiglass', 'acrylic', 'glue', 'oz']",Adhesives Sealants and Tapes
"['glue', 'adhesive', 'cement', 'fish', 'tank', 'plexiglass', 'acrylic', 'plastic', 'solvent']",Adhesives Sealants and Tapes
"['plastic', 'casting', 'resin', 'for', 'resin', 'casting', 'in', 'silicone', 'rubber', 'molds', 'gallons']",Adhesives Sealants and Tapes
"['table', 'top', 'bar', 'top', 'epoxy', 'coating', 'gallon', 'kit']",Adhesives Sealants and Tapes
"['wire', 'glue', 'electrically', 'conductive', 'glue']",Adhesives Sealants and Tapes
"['plexiglass', 'sheet', 'plastic', 'glue', 'oz', 'tube', 'ips', 'weld', 'on', 'acrylic', 'cement']",Adhesives Sealants and Tapes
"['polymat', 'hi', 'temp', 'spray', 'adhesive', 'oz', 'can', 'high', 'temperature', 'headliner', 'glue']",Adhesives Sealants and Tapes
"['gorilla', 'duct', 'tape', 'yd', 'black']",Adhesives Sealants and Tapes
